vorname,anzahl,geschlecht
Marie,71,w
Sophie,57,w
Alexander,48,m
Paul,39,m
Charlotte,35,w
Emil,33,m
Maximilian,32,m
Maria,30,w
Emma,27,w
Anton,26,m
Elias,26,m
Johanna,26,w
Leon,26,m
Anna,25,w
Felix,25,m
Lukas,24,m
Emilia,22,w
Luise,22,w
Karl,21,m
Elisabeth,21,w
Max,21,m
Helene,21,w
Oskar,21,m
Mia,21,w
Sophia,21,w
Ben,19,m
David,19,m
Emily,19,w
Jakob,19,m
Greta,19,w
Luca,19,m
Lina,19,w
Luis,19,m
Milan,19,m
Theodor,19,m
Hannah,18,w
Laura,18,w
Adam,18,m
Noah,18,m
Mila,17,w
Erik,17,m
Theo,17,m
Marlene,16,w
Mina,16,w
Nele,16,w
Adrian,16,m
Ali,16,m
Benjamin,16,m
Finn,16,m
Jan,16,m
Kevin,16,m
Louis,16,m
Valentin,16,m
Matilda,15,w
Paula,15,w
Joel,15,m
Antonia,14,w
Lara,14,w
Melina,14,w
Zeynep,14,w
Johann,14,m
Julian,14,m
Liam,14,m
Michael,14,m
Alma,13,w
Anh,13,w
Leonie,13,w
Daniel,13,m
Fabian,13,m
Hugo,13,m
Jonas,13,m
Leonard,13,m
Philipp,13,m
Frida,12,w
Frieda,12,w
Hanna,12,w
Helena,12,w
Pauline,12,w
Rosa,12,w
Friedrich,12,m
Jonathan,12,m
Konstantin,12,m
Leo,12,m
Martin,12,m
Mika,12,m
Muhammed,12,m
Tim,12,m
Alina,11,w
Ava,11,w
Carla,11,w
Clara,11,w
Ela,11,w
Elena,11,w
Ida,11,w
Josephine,11,w
Julia,11,w
Lea,11,w
Luisa,11,w
Nora,11,w
Anh,11,m
Gabriel,11,m
Hannes,11,m
Johannes,11,m
Moritz,11,m
Ole,11,m
Vincent,11,m
Elif,10,w
Elisa,10,w
Ella,10,w
Lena,10,w
Leni,10,w
Lotta,10,w
Marla,10,w
Mathilda,10,w
Aaron,10,m
Maya,10,w
Arthur,10,m
Nur,10,w
Carl,10,m
Sarah,10,w
Edgar,10,m
Victoria,10,w
Gia,10,m
Henri,10,m
Levi,10,m
Minh,10,m
Noel,10,m
Pepe,10,m
Simon,10,m
Tom,10,m
Amy,9,w
Elise,9,w
Katharina,9,w
Lotte,9,w
Melissa,9,w
Sara,9,w
Can,9,m
Duc,9,m
Emir,9,m
Henry,9,m
Leander,9,m
Mateo,9,m
Niklas,9,m
Amelie,8,w
Bao,8,w
Josefine,8,w
Klara,8,w
Lilli,8,w
Linh,8,w
Rosalie,8,w
Bao,8,m
Bela,8,m
Bilal,8,m
Bruno,8,m
Christian,8,m
Fritz,8,m
Matteo,8,m
Neo,8,m
Nicolas,8,m
Peter,8,m
Thomas,8,m
Amelia,7,w
Eva,7,w
Fabienne,7,w
Isabel,7,w
Isabella,7,w
Magdalena,7,w
Maja,7,w
Merle,7,w
Michelle,7,w
Mira,7,w
Olivia,7,w
Ronja,7,w
Zoe,7,w
Ahmad,7,m
Caspar,7,m
Ferdinand,7,m
Florian,7,m
Frederik,7,m
Henrik,7,m
Huy,7,m
Jacob,7,m
Jonah,7,m
Josef,7,m
Joshua,7,m
Julius,7,m
Konrad,7,m
Lennox,7,m
Levin,7,m
Nils,7,m
Robin,7,m
Samuel,7,m
Alena,6,w
Alexandra,6,w
Alva,6,w
Gia,6,w
Henriette,6,w
Lilith,6,w
Lisa,6,w
Liv,6,w
Louise,6,w
Lucia,6,w
Lucy,6,w
Martha,6,w
Mathilde,6,w
Nina,6,w
Paulina,6,w
Pia,6,w
Rose,6,w
Sofia,6,w
August,6,m
Stella,6,w
Efe,6,m
Theresa,6,w
Fynn,6,m
Hamza,6,m
Jack,6,m
John,6,m
Juri,6,m
Justus,6,m
Kaan,6,m
Leopold,6,m
Linus,6,m
Long,6,m
Maxim,6,m
Milo,6,m
Mohammad,6,m
Nam,6,m
Oliver,6,m
Oscar,6,m
Philip,6,m
Rafael,6,m
Sebastian,6,m
Ömer,6,m
Amira,5,w
Angela,5,w
Anouk,5,w
Ayşe,5,w
Emine,5,w
Ha,5,w
Han,5,w
Jenny,5,w
Joleen,5,w
Julie,5,w
Leyla,5,w
Livia,5,w
Louisa,5,w
Luna,5,w
Maira,5,w
Minh,5,w
Nisa,5,w
Nour,5,w
Sofie,5,w
Su,5,w
Albert,5,m
Valentina,5,w
An,5,m
Vy,5,w
André,5,m
Zehra,5,w
Antonio,5,m
Benedikt,5,m
Bảo,5,m
Christopher,5,m
Colin,5,m
Constantin,5,m
Deniz,5,m
Emilio,5,m
Enes,5,m
Eymen,5,m
Georg,5,m
Gustav,5,m
Hans,5,m
Jannis,5,m
Leonardo,5,m
Lian,5,m
Manuel,5,m
Marc,5,m
Matti,5,m
Mattis,5,m
Mehmet,5,m
Nuri,5,m
Pascal,5,m
Phillip,5,m
Raphael,5,m
Robert,5,m
Tobias,5,m
Toni,5,m
Wilhelm,5,m
William,5,m
Yunus,5,m
Amalia,4,w
Amina,4,w
Anastasia,4,w
Anne,4,w
Berfin,4,w
Bảo,4,w
Carlotta,4,w
Dila,4,w
Elina,4,w
Elsa,4,w
Emilie,4,w
Esma,4,w
Fatima,4,w
Fiona,4,w
Friederike,4,w
Hà,4,w
Irene,4,w
Jana,4,w
Jasmin,4,w
Jennifer,4,w
Juna,4,w
Karlotta,4,w
Khánh,4,w
Larissa,4,w
Lia,4,w
Lilly,4,w
Luana,4,w
Mai,4,w
Malak,4,w
Meryem,4,w
Nhi,4,w
Arda,4,m
Pham,4,w
Arne,4,m
Phuong,4,w
Artur,4,m
Romy,4,w
Azad,4,m
Ruth,4,w
Berat,4,m
Selina,4,w
Burak,4,m
Tilda,4,w
Béla,4,m
Tuana,4,w
Carlos,4,m
Dennis,4,m
Diego,4,m
Dominik,4,m
Emanuel,4,m
Enno,4,m
Ensar,4,m
Faruk,4,m
Fatih,4,m
Fiete,4,m
Frederick,4,m
Furkan,4,m
Heinrich,4,m
Ian,4,m
Jamal,4,m
James,4,m
Jamie,4,m
Jason,4,m
Julien,4,m
Kai,4,m
Leonhard,4,m
Marcel,4,m
Maria,4,m
Mathis,4,m
Mats,4,m
Mohamad,4,m
Mustafa,4,m
Niclas,4,m
Nikolai,4,m
Otto,4,m
Pablo,4,m
Pierre,4,m
Richard,4,m
Salih,4,m
Stefan,4,m
Taylor,4,m
Thees,4,m
Tristan,4,m
Tyler,4,m
Viktor,4,m
Việt,4,m
Walter,4,m
Aisha,3,w
Aleyna,3,w
Amélie,3,w
An,3,w
Ana,3,w
Angelina,3,w
Aurelia,3,w
Aylin,3,w
Azra,3,w
Carolina,3,w
Christine,3,w
Diana,3,w
Eda,3,w
Elenor,3,w
Eleonora,3,w
Elin,3,w
Elizabeth,3,w
Emelie,3,w
Emely,3,w
Erika,3,w
Fritzi,3,w
Gabriela,3,w
Gerda,3,w
Hana,3,w
Hermine,3,w
Hân,3,w
Isabell,3,w
Josephin,3,w
Joy,3,w
Karla,3,w
Karoline,3,w
Kaur,3,w
Kiara,3,w
Kim,3,w
Kira,3,w
Käthe,3,w
Linda,3,w
Lorin,3,w
Lucía,3,w
Madita,3,w
Maia,3,w
Mara,3,w
Adriano,3,m
Margarete,3,w
Aidan,3,m
Marta,3,w
Aleksandar,3,m
Melek,3,w
Almir,3,m
Melisa,3,w
Alvin,3,m
Mi,3,w
Amadeus,3,m
Mieke,3,w
Amir,3,m
Milla,3,w
Amon,3,m
Minou,3,w
Andreas,3,m
Monika,3,w
Antonin,3,m
Ngoc,3,w
Arun,3,m
Noa,3,w
Aurel,3,m
Rabia,3,w
Benno,3,m
Rebecca,3,w
Bo,3,m
Ruby,3,w
Brian,3,m
Serafina,3,w
Casimir,3,m
Sina,3,w
Cem,3,m
Talia,3,w
Clemens,3,m
Tran,3,w
Damian,3,m
Trang,3,w
Devrim,3,m
Valeria,3,w
Duy,3,m
Yağmur,3,w
Elmo,3,m
Zoey,3,w
Emin,3,m
Emre,3,m
Enzo,3,m
Eric,3,m
Filip,3,m
Flynn,3,m
Franz,3,m
Hai,3,m
İbrahim,3,m
Ilyas,3,m
Jaden,3,m
Jaro,3,m
Jona,3,m
Joseph,3,m
Juan,3,m
Jörg,3,m
Kerem,3,m
Khanh,3,m
Kilian,3,m
Kiyan,3,m
Laszlo,3,m
Lee,3,m
Lenn,3,m
Lennart,3,m
Leonas,3,m
Lorenzo,3,m
Luka,3,m
Luke,3,m
Malte,3,m
Marian,3,m
Marvin,3,m
Mattes,3,m
Matthias,3,m
Maurice,3,m
Mijo,3,m
Mohammed,3,m
Muhammad,3,m
Nepomuk,3,m
Nhat,3,m
Nicholas,3,m
Nico,3,m
Nikita,3,m
Noam,3,m
Patrick,3,m
Piet,3,m
Rainer,3,m
Ray,3,m
René,3,m
Ryan,3,m
Sam,3,m
Thien,3,m
Till,3,m
Tommy,3,m
Tony,3,m
Victor,3,m
Viet,3,m
Werner,3,m
Willem,3,m
Willi,3,m
Yasin,3,m
Yusuf,3,m
Đức,3,m
Aaliyah,2,w
Adriana,2,w
Agnes,2,w
Alea,2,w
Alice,2,w
Alisa,2,w
Andrea,2,w
Anita,2,w
Anni,2,w
Anny,2,w
Anthea,2,w
Ashley,2,w
Asmira,2,w
Aybike,2,w
Ayla,2,w
Ayşenur,2,w
Barbara,2,w
Batoul,2,w
Batul,2,w
Belinay,2,w
Betül,2,w
Brigitte,2,w
Büşra,2,w
Carina,2,w
Catalina,2,w
Catharina,2,w
Ceyda,2,w
Charleen,2,w
Christel,2,w
Dana,2,w
Daniela,2,w
Daria,2,w
Deniz,2,w
Dilara,2,w
Doan,2,w
Duru,2,w
Ebba,2,w
Ece,2,w
Ecrin,2,w
Edda,2,w
Elanur,2,w
Elea,2,w
Eleni,2,w
Elinor,2,w
Elisabeta,2,w
Ellen,2,w
Elly,2,w
Emmi,2,w
Esila,2,w
Esther,2,w
Fatma,2,w
Felice,2,w
Feyza,2,w
Fina,2,w
Freya,2,w
Gabriele,2,w
Golda,2,w
Hanin,2,w
Hedi,2,w
Hira,2,w
Hivda,2,w
Hollie,2,w
Abdelwahab,2,m
Iman,2,w
Adem,2,m
Inga,2,w
Aeneas,2,m
Irina,2,w
Ahmed,2,m
Isabelle,2,w
Ahmet,2,m
Isra,2,w
Alex,2,m
Jane,2,w
Alexis,2,m
Jasmina,2,w
Alfred,2,m
Jessica,2,w
Alwin,2,m
Jill,2,w
Amani,2,m
Joana,2,w
Amar,2,m
Johanne,2,w
Andjelo,2,m
Jolina,2,w
Andre,2,m
Jona,2,w
Anis,2,m
Juli,2,w
Antony,2,m
Juno,2,w
Aras,2,m
Kathrin,2,w
Aren,2,m
Laila,2,w
Ari,2,m
Lana,2,w
Armin,2,m
Layal,2,w
Arnim,2,m
Layan,2,w
Aron,2,m
Lenia,2,w
Augustin,2,m
Liliana,2,w
Aziz,2,m
Lily,2,w
Baran,2,m
Limar,2,w
Batuhan,2,m
Lin,2,w
Benny,2,m
Linnea,2,w
Bernd,2,m
Lisann,2,w
Bogdan,2,m
Lola,2,w
Bosse,2,m
Lore,2,w
Camilo,2,m
Lou,2,w
Cao,2,m
Luka,2,w
Cevdet,2,m
Lulu,2,w
Charlie,2,m
Luz,2,w
Conrad,2,m
Luzia,2,w
Cosmo,2,m
Lydia,2,w
Cristian,2,m
Lynn,2,w
Damien,2,m
Madison,2,w
Dang,2,m
Magda,2,w
Dağhan,2,m
Malin,2,w
Devran,2,m
Manuela,2,w
Dietmar,2,m
Margareta,2,w
Dietrich,2,m
Margaretha,2,w
Dion,2,m
Mari,2,w
Dwayne,2,m
Mariam,2,w
Eddie,2,m
Marianne,2,w
Edmund,2,m
Marija,2,w
Edward,2,m
Marina,2,w
Elijah,2,m
Marisol,2,w
Elliot,2,m
Marlen,2,w
Emirhan,2,m
Marlena,2,w
Emmanuel,2,m
Mayla,2,w
Enrico,2,m
Melda,2,w
Eren,2,m
Melis,2,w
Erwin,2,m
Melodie,2,w
Eugeniusz,2,m
Melody,2,w
Eyüp,2,m
Meral,2,w
Ezra,2,m
Mika,2,w
Fabio,2,m
Mona,2,w
Felipe,2,m
My,2,w
Fernando,2,m
Nadja,2,w
Fin,2,m
Nahla,2,w
Finley,2,m
Narin,2,w
Finnegan,2,m
Natalia,2,w
Francis,2,m
Natalie,2,w
Frank,2,m
Naya,2,w
Fridolin,2,m
Naz,2,w
Gerd,2,m
Neele,2,w
Gregor,2,m
Nehir,2,w
Güney,2,m
Nguyễn,2,w
Hadi,2,m
Ngọc,2,w
Hanno,2,m
Nia,2,w
Hassan,2,m
Nicole,2,w
Hendrik,2,m
Nike,2,w
Hermann,2,m
Nil,2,w
Herrmann,2,m
Noemi,2,w
Hoang,2,m
Nura,2,w
Hung,2,m
Nuria,2,w
Hunter,2,m
Phương,2,w
Hưng,2,m
Ravza,2,w
Ilja,2,m
Rika,2,w
Ismail,2,m
Rita,2,w
Ivo,2,m
Robyn,2,w
Janis,2,m
Rona,2,w
Jannick,2,m
Rosemarie,2,w
Jannik,2,m
Réka,2,w
Janosch,2,m
Sabrina,2,w
Jante,2,m
Sahra,2,w
Jasper,2,m
Sakura,2,w
Jayden,2,m
Sally,2,w
Jeremie,2,m
Samira,2,w
Jeremy,2,m
Sandra,2,w
Jessy,2,m
Selena,2,w
Jim,2,m
Selin,2,w
Joachim,2,m
Selma,2,w
Johan,2,m
Sirin,2,w
Johnny,2,m
Stefanova,2,w
Jonny,2,m
Stefka,2,w
Jonte,2,m
Sude,2,w
Jordan,2,m
Susan,2,w
Joschua,2,m
Susanna,2,w
Jürgen,2,m
Sydney,2,w
Kaspar,2,m
Tabea,2,w
Kasper,2,m
Tamara,2,w
Kay,2,m
Tamia,2,w
Kenny,2,m
Tara,2,w
Kjell,2,m
Thao,2,w
Kurt,2,m
Thea,2,w
Lars,2,m
Theresia,2,w
Lasse,2,m
Trinh,2,w
Laurin,2,m
Tuba,2,w
Le,2,m
Tuong,2,w
Lenard,2,m
Ursula,2,w
Lennard,2,m
Uyen,2,w
Lewis,2,m
Valerie,2,w
Luc,2,m
Vanessa,2,w
Lucas,2,m
Vera,2,w
Lutz,2,m
Viktoria,2,w
Mads,2,m
Vivien,2,w
Magnus,2,m
Vladimirovna,2,w
Mahir,2,m
Vân,2,w
Mahmud,2,m
Wilhelmine,2,w
Marco,2,m
Wolke,2,w
Mario,2,m
Yael,2,w
Marius,2,m
Yaren,2,w
Mark,2,m
Yella,2,w
Marten,2,m
Yolanda,2,w
Matthis,2,m
Zahra,2,w
Mert,2,m
Zara,2,w
Mio,2,m
Zoé,2,w
Miran,2,m
Zoë,2,w
Mirko,2,m
Élise,2,w
Mischa,2,m
Murat,2,m
Musab,2,m
Nabil,2,m
Nicolai,2,m
Nikolas,2,m
Noa,2,m
Odin,2,m
Omar,2,m
Omer,2,m
Otis,2,m
Phil,2,m
Piotr,2,m
Poyraz,2,m
Quang,2,m
Raffael,2,m
Rahmi,2,m
River,2,m
Roman,2,m
Romeo,2,m
Ruben,2,m
Rüzgar,2,m
Said,2,m
Samet,2,m
Sander,2,m
Santiago,2,m
Selim,2,m
Steve,2,m
Steven,2,m
Taylan,2,m
Thanh,2,m
Thore,2,m
Thành,2,m
Timo,2,m
Timon,2,m
Tore,2,m
Torsten,2,m
Tri,2,m
Tuan,2,m
Tyrone,2,m
Ulrich,2,m
Uğur,2,m
Valentino,2,m
Valerian,2,m
Van,2,m
Vi,2,m
Vicco,2,m
Vu,2,m
Winston,2,m
Wyatt,2,m
Yakup,2,m
Yassin,2,m
Aaliyah-Maribel,1,w
Abigail,1,w
Ada,1,w
Adele,1,w
Adjoa,1,w
Advana,1,w
Afrahe,1,w
Africa,1,w
Aghun,1,w
Agnese,1,w
Ai-Ling,1,w
Aimee,1,w
Aimée,1,w
Ainhoa,1,w
Aischa,1,w
Aisulu,1,w
Aisun,1,w
Alaya,1,w
Alayna-Joleen,1,w
Alba,1,w
Albena,1,w
Alda,1,w
Aleke,1,w
Aleksandra,1,w
Aleksandrova,1,w
Alem,1,w
Alessandra,1,w
Alessia,1,w
Alex,1,w
Alfonsina,1,w
Ali,1,w
Alia,1,w
Alicia,1,w
Alicja,1,w
Alijandra,1,w
Alissa,1,w
Allegra,1,w
Almila,1,w
Almina,1,w
Almira,1,w
Alvina,1,w
Alwine,1,w
Alya,1,w
Alyssa,1,w
Alíah,1,w
Ama,1,w
Amadahy,1,w
Amalie,1,w
Amani,1,w
Amara,1,w
Amarjot,1,w
Amaryllis,1,w
Abdallah,1,m
Amata,1,w
Abduallah,1,m
Amelie-Ellen,1,w
Abdul,1,m
Amely,1,w
Abdulaziz,1,m
Amila,1,w
Abdulhaadi,1,m
Amilia,1,w
Abdullah,1,m
Amirhanova,1,w
Abdulmecid-Han,1,m
Amy-Josephine,1,w
Abdurrahman,1,m
Amylee,1,w
Abel,1,m
Ana-Marie,1,w
Adar,1,m
Anabell,1,w
Adel,1,m
Anamaria,1,w
Aeshoka,1,m
Anastasija,1,w
Afanasy,1,m
Anaé,1,w
Aidano,1,m
Anaïs,1,w
Aiden,1,m
Ancika,1,w
Aiko,1,m
Anela,1,w
Aiman,1,m
Anesa,1,w
Aimé,1,m
Anfal,1,w
Ajaipal,1,m
Angelika,1,w
Ajdin,1,m
Angelique,1,w
Akeksandar,1,m
Angélique,1,w
Akim,1,m
Ania,1,w
Akira,1,m
Anika,1,w
Alade,1,m
Aniko,1,w
Alan,1,m
Anisa,1,w
Aland,1,m
Anna-Lena,1,w
Alejandro,1,m
Annabel,1,w
Aleks,1,m
Annabell,1,w
Aleksa,1,m
Annabelle,1,w
Aleksejewitsch,1,m
Annalena,1,w
Aleksi,1,m
Annica,1,w
Alen,1,m
Annick,1,w
Alexandrovič,1,m
Annie,1,w
Alexandru,1,m
Annika,1,w
Alexej,1,m
Anouk-Youme,1,w
Ali-Merdan,1,m
Antonetta,1,w
Alican,1,m
Antoni,1,w
Alihan,1,m
Apelonia,1,w
Alikaan,1,m
Apollonia,1,w
Alikan,1,m
Aralyn,1,w
Aljoscha,1,m
Arena,1,w
Alkazim,1,m
Arhane,1,w
Alvar,1,m
Ariella,1,w
Amadou,1,m
Arifa,1,w
Amaru,1,m
Arjana,1,w
Amasiah,1,m
Armina,1,w
Amer,1,m
Arong,1,w
Amit,1,m
Asja,1,w
Andor,1,m
Asmin,1,w
Andrej,1,m
Assmaa,1,w
Andrés,1,m
Asta,1,w
Andy,1,m
Asya,1,w
Aneliyev,1,m
Augustine,1,w
Anetov,1,m
Aulona,1,w
Angelino,1,m
Auphelia,1,w
Angelo,1,m
Aurelie,1,w
Anıl,1,m
Aurora,1,w
Annis-Mahammad,1,m
Aurélie,1,w
Anselm,1,m
Avy,1,w
Ansgar,1,m
Aya,1,w
Anthony,1,m
Ayda,1,w
Antoni,1,m
Aydan,1,w
Antonie,1,m
Ayfer,1,w
Antonov,1,m
Ayleen,1,w
Antti,1,m
Aylen,1,w
Anuar,1,m
Ayo,1,w
Anuk,1,m
Ayoka,1,w
Araz,1,m
Ayomikun,1,w
Ares,1,m
Aysha,1,w
Aric,1,m
Aysu,1,w
Arik,1,m
Ayumi,1,w
Aris,1,m
Ayça,1,w
Arkadiusz,1,m
Ayşin,1,w
Arne-Dietrich,1,m
Azraa,1,w
Arnold,1,m
Bade,1,w
Arren,1,m
Bahar-Anna,1,w
Artur-Vanadis,1,m
Bayan,1,w
Arved,1,m
Bean,1,w
Arwed,1,m
Beatrix,1,w
Asaf,1,m
Belana,1,w
Asan,1,m
Beliz,1,w
Asmen,1,m
Bella,1,w
Asmo,1,m
Benigna,1,w
Atacan,1,m
Bernadette-Josephine,1,w
Atreju,1,m
Berra,1,w
Atuan,1,m
Beti,1,w
Aulon,1,m
Betty,1,w
Aurelius,1,m
Beverly,1,w
Avid,1,m
Beyza,1,w
Aydamatus,1,m
Bircan,1,w
Aydın,1,m
Blanca,1,w
Aydin,1,m
Blerta,1,w
Ayoub,1,m
Blue,1,w
Azaan,1,m
Bonny,1,w
Bachir,1,m
Bounty,1,w
Bahadir,1,m
Brenda,1,w
Bahoz,1,m
Brianna,1,w
Bakir,1,m
Bruni,1,w
Balian,1,m
Buğlem,1,w
Balthasar,1,m
Bärbel,1,w
Balázs,1,m
Băng,1,w
Bang,1,m
Canan,1,w
Baptiste,1,m
Carinthia,1,w
Baray,1,m
Carlijn,1,w
Baribal,1,m
Carlota,1,w
Barne,1,m
Carmen,1,w
Baschar,1,m
Caroline,1,w
Batu,1,m
Cassuli,1,w
Baturalp,1,m
Cassy,1,w
Bedirhan,1,m
Cat,1,w
Bejan,1,m
Cathrine,1,w
Bekir,1,m
Cato,1,w
Belindo,1,m
Cemre,1,w
Ben-Achim,1,m
Ceren,1,w
Benett,1,m
Ceylin,1,w
Benjy,1,m
Charlie,1,w
Bennet,1,m
Charlize,1,w
Bennett,1,m
Charlotta,1,w
Bennik,1,m
Cherry,1,w
Bennit,1,m
Cheyenne-Blue,1,w
Benot,1,m
Chintamani,1,w
Benoît,1,m
Chisaki,1,w
Bente,1,m
Christa,1,w
Bento,1,m
Christiana,1,w
Benu,1,m
Christiane,1,w
Ber,1,m
Christin,1,w
Bera,1,m
Cira,1,w
Beran,1,m
Clarissa,1,w
Berkay,1,m
Clea,1,w
Bertan,1,m
Clementine,1,w
Bertold,1,m
Cleo,1,w
Bethiou,1,m
Coco,1,w
Bille,1,m
Colette,1,w
Birk,1,m
Conny,1,w
Bobi,1,m
Constanze,1,w
Bodo,1,m
Cora,1,w
Boi,1,m
Cäcilia,1,w
Bolek,1,m
Cécile,1,w
Bomber,1,m
Dalia,1,w
Borislav,1,m
Daliborka,1,w
Bryan,1,m
Daliya,1,w
Bugra,1,m
Damla,1,w
Bui,1,m
Dan,1,w
Burt,1,m
Daniella,1,w
Bálint,1,m
Danielle,1,w
Cailan,1,m
Danijela,1,w
Cal-Byron,1,m
Danly,1,w
Caleb,1,m
Danáe,1,w
Calvin,1,m
Darina,1,w
Canahmet,1,m
Darja,1,w
Carlo,1,m
Darlien,1,w
Carsten,1,m
Davina,1,w
Casper,1,m
Debora,1,w
Cassius,1,m
Deliyha,1,w
Catharius,1,m
Denisa,1,w
Celal,1,m
Derin,1,w
Celil,1,m
Destiny,1,w
Cemil,1,m
Devi,1,w
Charles,1,m
Di,1,w
Charly,1,m
Diem,1,w
Chase,1,m
Diora,1,w
Cheon,1,m
Diệu,1,w
Chinedu,1,m
Do,1,w
Chris,1,m
Dominique,1,w
Chris-Taylor,1,m
Donjeta,1,w
Christophe,1,m
Dorchen,1,w
Cınar,1,m
Dorothea,1,w
Ciwan,1,m
Dorra,1,w
Claas,1,m
Dua,1,w
Cliff,1,m
Dung,1,w
Cody-Jaden,1,m
Duygu,1,w
Collin,1,m
Dô,1,w
Colt,1,m
Džemila,1,w
Conner,1,m
Dạ,1,w
Constantine,1,m
Edanur,1,w
Cornelis,1,m
Eden,1,w
Corvin,1,m
Edera,1,w
Cosmin,1,m
Edita,1,w
Crispin,1,m
Editha,1,w
Cristiano,1,m
Eilish,1,w
Cruz,1,m
Ekamjot,1,w
Cuno,1,m
Elaina,1,w
Daan,1,m
Elasu,1,w
Damon,1,m
Eleonore,1,w
Danijel,1,m
Elie,1,w
Danny,1,m
Elif-Meryem,1,w
Dante,1,m
Elif-Sude,1,w
Darian,1,m
Elifnur,1,w
Dario,1,m
Eline,1,w
Daris,1,m
Elinya,1,w
Darko,1,m
Elisa-Marie,1,w
Dave,1,m
Eliza,1,w
Davin-Leon,1,m
Elja,1,w
Davis,1,m
Ella-Pauline,1,w
Dawid,1,m
Elli,1,w
Dawud,1,m
Ellina,1,w
Dean,1,m
Elmas,1,w
Delian,1,m
Elmas-Nur,1,w
Demjén,1,m
Elmira,1,w
Deniz-Cem,1,m
Eloise,1,w
Denny,1,m
Elva,1,w
Devo,1,m
Elvin,1,w
Deyvit,1,m
Elyse,1,w
Dimitris,1,m
Elín,1,w
Dinesh,1,m
Emili,1,w
Dirk,1,m
Emiliana,1,w
Diyanov,1,m
Emilya,1,w
Djamel,1,m
Emmilia,1,w
Djwar,1,m
Emmy,1,w
Dmitri,1,m
Emy,1,w
Do,1,m
Engelmann,1,w
Domenic,1,m
Enie,1,w
Dominic,1,m
Enna,1,w
Don,1,m
Enne,1,w
Doruk,1,m
Erawia-Gabriela,1,w
Doãn,1,m
Eray,1,w
Doğan,1,m
Erna,1,w
Dusko,1,m
Erva,1,w
Dyango,1,m
Esi,1,w
Dzhaner,1,m
Esiye,1,w
Dzhengis,1,m
Eslem,1,w
Dzheylyanov,1,m
Esmeralda,1,w
Dưc,1,m
Eusebia,1,w
Ebubekir,1,m
Eva-Clarice,1,w
Eder,1,m
Eve,1,w
Eduardo,1,m
Evelina,1,w
Edvin,1,m
Evelyn,1,w
Edwin,1,m
Evelyne,1,w
Ege,1,m
Evengelina,1,w
Egemen,1,m
Evie,1,w
Ekin,1,m
Evin,1,w
Ektoras,1,m
Evodia,1,w
Elea,1,m
Ezgi,1,w
Elezuo,1,m
Fabel,1,w
Eli,1,m
Fadime,1,w
Elia,1,m
Fatbardha,1,w
Eliah,1,m
Fatimatüz,1,w
Eliano,1,m
